"Plot2"
"Time (sec)","Reaction Force1 (newton)"
6.2,0.00054505922957767
6.24,0.000515585887809399
6.28,0.000484810183739525
6.32,0.00045280985946749
6.36,0.000419665750589651
6.4,0.000385461582001539
6.44,0.00035028375640152
6.48,0.000314221136030072
6.52,0.000277364818196051
6.56,0.000239807905156996
6.6,0.00020164526893473
6.64000000000001,0.000162973311660406
6.68000000000001,0.00012388972205436
6.72000000000001,8.4493228655924e-05
6.76000000000001,4.48833504265595e-05
6.80000000000001,5.16014535633917e-06
6.84000000000001,3.45760422912332e-05
6.88000000000001,7.42248354575419e-05
6.92000000000001,0.000113686077850006
6.96000000000001,0.000152860086945583
7.00000000000001,0.000191647905797464
7.04000000000001,0.000229951553008914
7.08000000000001,0.000267674270242783
7.12000000000001,0.000304720766641459
7.16000000000001,0.000340997459539849
7.20000000000001,0.00037641271086331
7.24000000000001,0.000410877058613381
7.28000000000001,0.000444303442856558
7.32000000000001,0.000476607425645233
7.36000000000001,0.000507707404315283
7.40000000000001,0.000537524817621486
7.44000000000001,0.000565984344190038
7.48000000000001,0.000593014092786883
7.52000000000001,0.000618545783921206
7.56000000000001,0.000642514922325357
7.60000000000001,0.000664860959875499
7.64000000000001,0.000685527448541412
7.68000000000001,0.000704462182979121
7.72000000000001,0.000721617332406131
7.76000000000001,0.00073694956142613
7.80000000000001,0.000750420139497957
7.84000000000001,0.000761995038772321
7.88000000000001,0.000771645020049093
7.92000000000001,0.000779345706638066
7.96000000000001,0.000785077645936589
8.00000000000001,0.000788826358568529
8.04,0.000790582374960436
8.08,0.000790341259262502
8.12,0.000788103620553908
8.16,0.000783875111304231
8.2,0.000777666413094817
8.24,0.000769493209636187
8.28,0.000759376147149611
8.32,0.00074734078221297
8.36,0.000733417517202619
8.4,0.000717641523494345
8.44,0.000700052652617423
8.48,0.000680695335586191
8.51999999999999,0.000659618470663448
8.55999999999999,0.000636875299839211
8.59999999999999,0.000612523274336813
8.63999999999999,0.00058662390948614
8.67999999999999,0.000559242629330552
8.71999999999999,0.000530448601360092
8.75999999999999,0.000500314561788387
8.79999999999999,0.000468916631814666
8.83999999999999,0.000436334125335007
8.87999999999999,0.000402649348588546
8.91999999999999,0.000367947392244778
8.95999999999998,0.000332315916457141
8.99999999999998,0.000295844929425855
9.03999999999998,0.000258626560029406
9.07999999999998,0.000220754825098994
9.11999999999998,0.000182325391923867
9.15999999999998,0.000143435336587434
9.19999999999998,0.000104182898744667
9.23999999999998,6.46672334601919e-05
9.27999999999998,2.49881607340073e-05
9.31999999999998,1.47540866525192e-05
9.35999999999998,5.44591163333383e-05
9.39999999999998,9.40266299575595e-05
9.43999999999997,0.000133356676551782
9.47999999999997,0.000172349905004935
9.51999999999997,0.000210907815037804
9.55999999999997,0.000248933006023281
9.59999999999997,0.000286329423028809
9.63999999999997,0.000323002599459474
9.67999999999997,0.00035885989568882
9.71999999999997,0.000393810733074591
9.75999999999997,0.000427766822768239
9.79999999999997,0.000460642388740214
9.83999999999997,0.000492354384457674
9.87999999999997,0.000522822702667213
9.91999999999996,0.00055197037775275
9.95999999999996,0.000579723780157352
9.99999999999996,0.000606012802377885
10.04,0.000630771036062649
10.08,0.000653935939764637
10.12,0.000675448996926669
10.16,0.000695255863699273
10.2,0.000713306506217985
10.24,0.000729555326993226
10.28,0.000743961280093513
10.32,0.000756487974831056
10.36,0.000767103767687776
10.4,0.000775781842249598
10.44,0.000782500276947025
10.48,0.000787242100430932
10.52,0.000789995334443666
10.56,0.000790753024077161
10.5999999999999,0.000789513255341647
10.6399999999999,0.000786279160000546
10.6799999999999,0.00078105890765937
10.7199999999999,0.000773865685128589
10.7599999999999,0.0007647176631126
10.7999999999999,0.000753637950308954
10.8399999999999,0.000740654535033776
10.8799999999999,0.00072580021452086
10.9199999999999,0.000709112512072993
10.9599999999999,0.000690633582274856
10.9999999999999,0.000670410104506861
11.0399999999999,0.000648493165029011
11.0799999999999,0.000624938127932549
11.1199999999999,0.000599804495285476
11.1599999999999,0.000573155756825154
11.1999999999999,0.000545059229577727
11.2399999999999,0.000515585887809457
11.2799999999999,0.000484810183739588
11.3199999999999,0.000452809859467557
11.3599999999999,0.000419665750589719
11.3999999999999,0.000385461582001611
11.4399999999999,0.000350283756401594
11.4799999999999,0.00031422113603015
11.5199999999999,0.000277364818196131
11.5599999999999,0.000239807905157079
11.5999999999999,0.000201645268934814
11.6399999999999,0.000162973311660491
11.6799999999999,0.000123889722054448
